,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
55,20020917X01881,Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,,,PHO,HARRY CLEVER FIELD,Fatal(1),Destroyed,Airplane,N207CB,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,08-01-1983
57,20020917X02484,Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,,,,,Non-Fatal,Substantial,Airplane,N46681,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,08-01-1983
59,20020917X01779,Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,,,3MY,MOUNT HAWLEY,Non-Fatal,Substantial,Airplane,N6265P,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,08-01-1983
60,20020917X01778,Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,,,SKY,GRIFFING-SANDUSKY,Non-Fatal,Substantial,Airplane,N737LH,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983
61,20020917X01717,Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,,,SC42,TWIN LAKES,Non-Fatal,Substantial,Airplane,N25225,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983
64,20020917X01995,Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,,,,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N7355A,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,09-01-1983
69,20020917X02158,Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,,,P06,BULLHEAD CITY,Non-Fatal,Destroyed,Airplane,N2753J,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,10-01-1983
75,20020917X01985,Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,,,,,Non-Fatal,Destroyed,Airplane,N7273J,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,11-01-1983
77,20020917X01982,Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,,,28V,COCHETOPA,Non-Fatal,Substantial,Airplane,N2332C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,11-01-1983
90,20020917X02395,Accident,MIA82DKJ03,1982-01-15,"MALONE, FL",United States,,,,TAYLOR FARMS,Non-Fatal,Substantial,Airplane,N5559T,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-01-1983
92,20020917X02576,Accident,SEA82DA018,1982-01-15,"SPOKANE, WA",United States,,,SFF,FELTS,Non-Fatal,Substantial,Airplane,N72901,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,15-01-1983
100,20020917X02294,Accident,LAX82FUJ24,1982-01-17,"SUNFLOWER, AZ",United States,,,,,Non-Fatal,Destroyed,Airplane,N7383S,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,0.0,VMC,Other,Probable Cause,17-01-1983
105,20020917X01624,Accident,ANC82DA014,1982-01-17,"ANCHORAGE, AK",United States,,,MRI,MERRILL FIELD,Non-Fatal,Destroyed,Airplane,N63516,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,17-01-1983
107,20020917X01645,Accident,ANC82DAG15,1982-01-17,"TULUKSAK, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N3574D,Cessna,170B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,17-01-1983
110,20020917X02257,Accident,LAX82FA047,1982-01-18,"DOWNIEVILLE, CA",United States,,,,,Fatal(1),Destroyed,Airplane,N5295R,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,18-01-1983
111,20020917X01723,Accident,ATL82FA039,1982-01-18,"BLAIRSVILLE, GA",United States,,,,,Fatal(3),Destroyed,Airplane,N4583J,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,18-01-1983
121,20020917X02488,Accident,NYC82DA024,1982-01-19,"ENFIELD, NH",United States,,,,,Non-Fatal,Substantial,Airplane,N68292,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,19-01-1983
122,20020917X02425,Accident,MKC82DA018,1982-01-19,"TOPEKA, KS",United States,,,,,Non-Fatal,Substantial,Airplane,N52757,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,19-01-1983
135,20020917X02398,Accident,MIA82FA035,1982-01-20,"ORLANDO, FL",United States,,,ORL,HERNDON,Fatal(1),Substantial,Airplane,N3318S,Cessna,210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,20-01-1983
136,20020917X01998,Accident,FTW82DA044,1982-01-20,"MIDLAND, TX",United States,,,MDD,MIDLAND AIRPARK,Non-Fatal,Substantial,Airplane,N5350M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-01-1983
150,20020917X02171,Accident,LAX82DA060,1982-01-22,"CARSON CITY, NV",United States,,,004,CARSON CITY,Non-Fatal,Substantial,Airplane,N13083,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,22-01-1983
152,20020917X02622,Accident,SEA82FYK07,1982-01-23,"LAPINE, OR",United States,,,,,Fatal(1),Destroyed,Airplane,N8172B,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,IMC,Approach,Probable Cause,23-01-1983
166,20020917X02563,Accident,NYC82FNA10,1982-01-24,"TAUNTON, MA",United States,,,TAN,,Non-Fatal,Substantial,Airplane,N80420,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,UNK,Approach,Probable Cause,24-01-1983
167,20020917X02163,Accident,LAX82DA052,1982-01-24,"FLAGSTAFF, AZ",United States,,,FLG,PULLIAM FIELD,Non-Fatal,Substantial,Airplane,N13533,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,24-01-1983
173,20020917X02485,Accident,NYC82DA020,1982-01-26,"SUSSEX, NJ",United States,,,,SUSSEX,Non-Fatal,Substantial,Airplane,N5989W,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,26-01-1983
174,20020917X02430,Accident,MKC82DA025,1982-01-26,"LEE'S SUMMIT, MO",United States,,,K84,MCCOMAS-LEES SUMMIT,Non-Fatal,Substantial,Airplane,N9259H,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,26-01-1983
175,20020917X02427,Accident,MKC82DA021,1982-01-26,"ESSEX, MO",United States,,,,,Non-Fatal,Substantial,Airplane,N89772,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,26-01-1983
179,20020917X02491,Accident,NYC82DA027,1982-01-27,"ANSONIA, CT",United States,,,,ANSONIA,Non-Fatal,Substantial,Airplane,N4918H,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-01-1983
180,20020917X02164,Accident,LAX82DA053,1982-01-27,"LODI, CA",United States,,,O20,KINGDON AIRPARK,Non-Fatal,Substantial,Airplane,N64951,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-01-1983
181,20020917X01925,Accident,DEN82DA031,1982-01-27,"BROOMFIELD, CO",United States,,,BJC,JEFFERSON COUNTY,Non-Fatal,Substantial,Airplane,N5745T,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,27-01-1983
188,20020917X02001,Accident,FTW82DA048,1982-01-28,"S. OF MORGAN CI, LA",United States,,,,,Non-Fatal,Substantial,Airplane,N6265E,Cessna,A185F,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-01-1983
190,20020917X02468,Accident,MKC82FA023,1982-01-29,"5M E. GREENSBUR, KS",United States,,,,,Fatal(1),Destroyed,Airplane,N1589E,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,29-01-1983
192,20020917X01758,Accident,ATL82FLG10,1982-01-29,"DARLINGTON, SC",United States,,,,,Fatal(1),Destroyed,Airplane,N1434Q,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,29-01-1983
193,20020917X01919,Accident,DEN82DA025,1982-01-29,"NEAR GILLETE, WY",United States,,,,,Non-Fatal,Substantial,Airplane,N758RD,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,29-01-1983
195,20020917X02166,Accident,LAX82DA055,1982-01-30,"AVALON, CA",United States,,,AVX,SANTA CATALINA,Non-Fatal,Destroyed,Airplane,N4510H,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Climb,Probable Cause,30-01-1983
199,20020917X02167,Accident,LAX82DA056,1982-01-30,"BIG BEAR, CA",United States,,,L35,BIG BEAR CITY,Non-Fatal,Substantial,Airplane,N54288,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-01-1983
200,20020917X02003,Accident,FTW82DA050,1982-01-30,"BALD KNOB, AR",United States,,,M74,BALD KNOB,Non-Fatal,Substantial,Airplane,N3041N,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,30-01-1983
201,20020917X01920,Accident,DEN82DA026,1982-01-30,"BRYCE CANYON, UT",United States,,,,BRYCE CANYON,Non-Fatal,Substantial,Airplane,N5447E,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-01-1983
203,20020917X01663,Accident,ATL82DA044,1982-01-30,"CUMBERLAND ISLA, GA",United States,,,,CANDLER HIGHPOINT,Non-Fatal,Substantial,Airplane,N734YY,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-01-1983
204,20020917X02580,Accident,SEA82DA023,1982-01-30,"SINCLAIR ISLAND, WA",United States,,,10,SINCLAIR ISLAND,Non-Fatal,Substantial,Airplane,N53294,Cessna,172P,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,"West Isle Air, Inc.",0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,30-01-1983
208,20020917X02344,Accident,MIA82DA040,1982-01-31,"NEW PORT RICHEY, FL",United States,,,X41,WEST PASCO,Non-Fatal,Substantial,Airplane,N5406M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,31-01-1983
209,20020917X02343,Accident,MIA82DA039,1982-01-31,"DELAND, FL",United States,,,DED,DELAND MUNICIPAL,Non-Fatal,Substantial,Airplane,N21481,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,31-01-1983
211,20020917X02005,Accident,FTW82DA052,1982-01-31,"ALBUQUERQUE, NM",United States,,,,ALBUQUERQUE INTL.,Non-Fatal,Substantial,Airplane,N89963,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,31-01-1983
212,20020917X02004,Accident,FTW82DA051,1982-01-31,"MCKINNEY, TX",United States,,,TKI,MCKINNEY,Non-Fatal,Substantial,Airplane,N6409M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,31-01-1983
215,20020917X02413,Accident,MIA82FLD13,1982-02-01,"CRYSTAL RIVER, FL",United States,,,X31,CRYSTAL RIVER,Non-Fatal,Destroyed,Airplane,N5111D,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,01-02-1983
217,20020917X02131,Accident,FTW82FQG14,1982-02-01,"PAMPA, TX",United States,,,,,Fatal(2),Destroyed,Airplane,N58947,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,01-02-1983
228,20020917X02297,Accident,LAX82FUJ27,1982-02-03,"PARADISE VALLEY, AZ",United States,,,,SKY HARBOR INTL ARPT,Fatal(1),Destroyed,Airplane,N11578,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,03-02-1983
240,20020917X02570,Accident,NYC82FNE03,1982-02-05,"ELLINGTON, CT",United States,,,,ELLINGTON,Non-Fatal,Substantial,Airplane,N721FL,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,05-02-1983
246,20020917X02432,Accident,MKC82DA027,1982-02-06,"SPRINGFIELD, MO",United States,,,SGF,SPRINGFIELD MUNICIPAL,Non-Fatal,Substantial,Airplane,N7041C,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,06-02-1983
248,20020917X02173,Accident,LAX82DA065A,1982-02-06,"SAN JOSE, CA",United States,,,RHV,RIED HILLVIEW,Non-Fatal,Substantial,Airplane,N3343D,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,06-02-1983
249,20020917X02172,Accident,LAX82DA064,1982-02-06,"CORONA, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N49013,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,06-02-1983
250,20020917X01790,Accident,CHI82DA039,1982-02-06,"EAST LANSING, MI",United States,,,2D8,DAVIS,Non-Fatal,Substantial,Airplane,N7644F,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,06-02-1983
253,20020917X01786,Accident,CHI82DA035,1982-02-06,"BUFFALO, MN",United States,,,8Y2,BUFFALO,Non-Fatal,Substantial,Airplane,N10794,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,06-02-1983
256,20020917X02284,Accident,LAX82FJA04,1982-02-07,"KALAUPAPA, HI",United States,,,,KALAUPAPA,Non-Fatal,Destroyed,Airplane,N16524,Piper,PA-28-140,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,4.0,0.0,0.0,VMC,Landing,Probable Cause,07-02-1983
259,20020917X02584,Accident,SEA82DA027,1982-02-07,"PROSSER, WA",United States,,,S40,GEORGE O. BEARDSLEY FIELD,Non-Fatal,Substantial,Airplane,N8280W,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-02-1983
261,20020917X02493,Accident,NYC82DA031,1982-02-07,"WRIGHTSTOWN, NJ",United States,,,,MCGUIRE AFB,Non-Fatal,Substantial,Airplane,N738QM,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,5.0,VMC,Landing,Probable Cause,07-02-1983
262,20020917X02434,Accident,MKC82DA029,1982-02-07,"CAPE GIRARDEAU, MO",United States,,,CGI,CAPE GIRARDEAU MUNICIPAL,Non-Fatal,Substantial,Airplane,N5272B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-02-1983
265,20020917X01792,Accident,CHI82DA041,1982-02-07,"BENTON HARBOR, MI",United States,,,BEH,ROSS FIELD,Non-Fatal,Substantial,Airplane,N9893J,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,07-02-1983
266,20020917X01791,Accident,CHI82DA040,1982-02-07,"CANTON, MI",United States,,,,,Non-Fatal,Substantial,Airplane,N46733,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,07-02-1983
267,20020917X01789,Accident,CHI82DA038,1982-02-07,"GREENCASTLE, IN",United States,,,4I7,PUTNAM COUNTY,Non-Fatal,Substantial,Airplane,N7804U,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-02-1983
268,20020917X02263,Accident,LAX82FA070,1982-02-08,"SANTA YSABEL, CA",United States,,,,,Fatal(1),Destroyed,Airplane,N733ZR,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,08-02-1983
271,20020917X01879,Accident,CHI82DEE13,1982-02-08,"LANSING, IL",United States,,,,LANSING MUNI,Non-Fatal,Substantial,Airplane,N65619,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-02-1983
273,20020917X01793,Accident,CHI82DA042,1982-02-08,"VALPARAISO, IN",United States,,,VPZ,PORTER COUNTY,Non-Fatal,Substantial,Airplane,N2203B,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,08-02-1983
274,20020917X01754,Accident,ATL82FKW04,1982-02-08,"NASHVILLE, TN",United States,,,,,Non-Fatal,Substantial,Airplane,N9479M,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,08-02-1983
275,20020917X01668,Accident,ATL82DA050,1982-02-08,"STATESBORO, GA",United States,,,,DAVIS AIRPARK,Non-Fatal,Substantial,Airplane,N89047,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-02-1983
281,20020917X01795,Accident,CHI82DA044,1982-02-09,"ANOKA, MN",United States,,,Y25,GATEWAY NORTH INDUSTRIAL,Non-Fatal,Substantial,Airplane,N12562,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,09-02-1983
292,20020917X02435,Accident,MKC82DA030,1982-02-11,"CHESTERFIELD, MO",United States,,,,SPIRIT OF ST. LOUIS,Non-Fatal,Substantial,Airplane,N757YE,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,11-02-1983
297,20020917X01804,Accident,CHI82DA054,1982-02-12,"ELYRIA, OH",United States,,,22G,LORAIN COUNTY REGIONAL,Non-Fatal,Substantial,Airplane,N49952,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,12-02-1983
302,20020917X02442,Accident,MKC82DA037,1982-02-13,"GRAIN VALLEY, MO",United States,,,3GV,EAST KANSAS CITY,Non-Fatal,Substantial,Airplane,N7947Z,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,13-02-1983
303,20020917X02439,Accident,MKC82DA034,1982-02-13,"MOBERLY, MO",United States,,,MBY,BRADLEY,Non-Fatal,Substantial,Airplane,N4822B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-02-1983
305,20020917X02010,Accident,FTW82DA057,1982-02-13,"NAVAJO DAM, NM",United States,,,IVO,NAVAJO STATE PARK,Non-Fatal,Substantial,Airplane,N8862B,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,13-02-1983
306,20020917X01929,Accident,DEN82DA036,1982-02-13,"PLENTYWOOD, MT",United States,,,,,Non-Fatal,Substantial,Airplane,N4380Z,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,UNK,Unknown,Probable Cause,13-02-1983
307,20020917X01797,Accident,CHI82DA046,1982-02-13,"ALTAMONT, IL",United States,,,,,Non-Fatal,Substantial,Airplane,N9447U,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,13-02-1983
310,20020917X02237,Accident,LAX82DUG06,1982-02-14,"DAGGETT, CA",United States,,,,,Non-Fatal,Destroyed,Airplane,N4539U,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,2.0,0.0,0.0,VMC,Descent,Probable Cause,14-02-1983
311,20020917X02011,Accident,FTW82DA058,1982-02-14,"CLEVELAND, TX",United States,,,GR3,CLEVELAND,Non-Fatal,Destroyed,Airplane,N5101B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,14-02-1983
313,20020917X02436,Accident,MKC82DA031,1982-02-14,"CHESTERFIELD, MO",United States,,,,SPIRIT OF ST. LOUIS,Non-Fatal,Substantial,Airplane,N18102,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,14-02-1983
